title,news_url,source_domain,tweet_num,real


Cricket Team Wins Championship Match,https://www.ndtv.com/india-festival/indian-festival-celebrated-with-traditional-events,espncricinfo.com,30,0

New Study Shows Increase in Urban Pollution Levels,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,livemint.com,87,0

Indian Prime Minister Announces New Economic Policies,https://www.techcrunch.com/startups/indian-startups-raise-billions-in-funding,theweek.in,121,0

India and China Discuss Trade Relations,https://www.indiatoday.in/technology/news/story/social-media-trends-among-indian-youth,ndtv.com,83,0

India and China Discuss Trade Relations,https://www.thewire.in/international/cultural-exchange-program-enhances-bilateral-relations,financialexpress.com,6,1

Technology Conference Showcases Innovative Startups,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,espncricinfo.com,82,1

Government Launches Initiative for Women Empowerment,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,thehindu.com,123,1

Research Breakthrough in Renewable Energy Sector,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,espncricinfo.com,73,1

Research Breakthrough in Renewable Energy Sector,https://www.thehindu.com/news/science/indian-scientists-develop-new-vaccine,economictimes.indiatimes.com,99,0

Major Sports Event to Be Held in India,https://www.timesofindia.indiatimes.com/india/prime-minister-announces-new-economic-policies,theguardian.com,147,1

Indian Heritage Sites Recognized by UNESCO,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,theguardian.com,29,0

Bollywood Actor Stars in Upcoming Blockbuster,https://www.hindustantimes.com/entertainment/bollywood/actor-stars-in-upcoming-blockbuster,theweek.in,146,0

Social Media Trends Among Indian Youth,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,thehindu.com,42,0

Social Media Trends Among Indian Youth,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,indiatoday.in,15,1

Cultural Exchange Program Enhances Bilateral Relations,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,hindustantimes.com,107,1

Major Sports Event to Be Held in India,https://www.indiatoday.in/weather/monsoon-season-brings-heavy-rainfall,economictimes.indiatimes.com,106,0

Cricket Team Wins Championship Match,https://www.financialexpress.com/economy/india-and-china-discuss-trade-relations,espncricinfo.com,24,1
Indian Scientists Develop New Vaccine for Diseases,https://www.business-standard.com/article/economy-policy/study-shows-increase-in-pollution-levels,moneycontrol.com,113,0

Technology Conference Showcases Innovative Startups,https://www.vogue.in/fashion/news/indian-fashion-week-highlights-emerging-designers,theweek.in,143,1

India and China Discuss Trade Relations,https://www.theweek.in/news/india/2023/01/01/government-launches-initiative-for-women-empowerment.html,business-standard.com,7,1

Indian Cuisine Gains Popularity Worldwide,https://www.techcircle.in/news/technology-conference-showcases-innovative-startups,business-standard.com,4,1

Cricket Team Wins Championship Match,https://www.sportskeeda.com/sports/major-sports-event-to-be-held-in-india,hindustantimes.com,143,0

Indian Heritage Sites Recognized by UNESCO,https://www.thehindu.com/news/national/new-educational-reforms-proposed,hindustantimes.com,44,1

Indian Prime Minister Announces New Economic Policies,https://www.espncricinfo.com/series/cricket-team-wins-championship-match,timesofindia.com,70,0

